Carrier,Year,Total Departures,Total Passengers,Total Seats,Total Load Factor (%),Total Passengers/Flight,Total Seats/Flight,Total Distance/Flight (sm),Total Distance/Passenger (sm),Total Payload (lbs),Total Freight (lbs),Total Mail (lbs),Domestic Departures,Domestic Passengers,Domestic Seats,Domestic Load Factor (%),Domestic Passengers/Flight,Domestic Seats/Flight,Domestic Distance/Flight (sm),Domestic Distance/Passenger (sm),Domestic Payload (lbs),Domestic Freight (lbs),Domestic Mail (lbs),Outbound International Departures,Outbound International Passengers,Outbound International Seats,Outbound International Load Factor (%),Outbound International Passengers/Flight,Outbound International Seats/Flight,Outbound International Distance/Flight (sm),Outbound International Distance/Passenger (sm),Outbound International Payload (lbs),Outbound International Freight (lbs),Outbound International Mail (lbs),Inbound International Departures,Inbound International Passengers,Inbound International Seats,Inbound International Load Factor (%),Inbound International Passengers/Flight,Inbound International Seats/Flight,Inbound International Distance/Flight (sm),Inbound International Distance/Passenger (sm),Inbound International Payload (lbs),Inbound International Freight (lbs),Inbound International Mail (lbs)
JetClub AG,2023,19,36,248,14.5,1.89,13.05,"3,771.89","3,986.75","120,560.00",0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,116,13.8,1.78,12.89,"3,554.67","4,018.56","56,760.00",0,0,10,20,132,15.2,2,13.2,"3,967.40","3,961.30","63,800.00",0,0
Jetflite Oy,2023,18,82,280,29.3,4.56,15.56,"2,420.61","2,131.63","117,243.00",0,0,10,56,160,35,5.6,16,909.7,940.52,"67,279.00",0,0,3,10,44,22.7,3.33,14.67,"4,061.33","4,718.50","18,254.00",0,0,5,16,76,21.1,3.2,15.2,"4,458.00","4,683.75","31,710.00",0,0
Jetstar Airways Pty Limited,2023,506,"148,105.00","169,510.00",87.4,292.7,335,"5,247.06","5,249.11","36,699,316.00","2,427,748.00",0,0,0,0,0,0,0,0,0,0,0,0,253,"76,238.00","84,755.00",90,301.34,335,"5,246.34","5,248.17","17,711,611.00","575,826.00",0,253,"71,867.00","84,755.00",84.8,284.06,335,"5,247.78","5,250.11","18,987,705.00","1,851,922.00",0
Jin Air Co Ltd.,2023,"1,434.00","243,714.00","293,019.00",83.2,169.95,204.34,"1,909.76","1,922.89","48,791,541.00",0,0,0,0,0,0,0,0,0,0,0,0,0,717,"122,711.00","146,729.00",83.6,171.15,204.64,"1,909.76","1,922.99","24,566,743.00",0,0,717,"121,003.00","146,290.00",82.7,168.76,204.03,"1,909.76","1,922.79","24,224,798.00",0,0
"Junipogo, LLC",2023,932,686,"4,822.00",14.2,0.74,5.17,83.51,70.18,"1,519,816.00","336,042.00",3,932,686,"4,822.00",14.2,0.74,5.17,83.51,70.18,"1,519,816.00","336,042.00",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KENAI AVIATION OPERATIONS, LLC",2023,"5,980.00","20,588.00","49,654.00",41.5,3.44,8.3,76.3,79.98,"12,333,556.00","13,045.00",0,"5,980.00","20,588.00","49,654.00",41.5,3.44,8.3,76.3,79.98,"12,333,556.00","13,045.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KaiserAir, Inc.",2023,284,"8,824.00","18,956.00",46.5,31.07,66.75,"2,056.34","1,868.48","10,864,720.00",0,0,274,"8,453.00","18,300.00",46.2,30.85,66.79,"2,097.91","1,911.68","10,475,120.00",0,0,5,232,328,70.7,46.4,65.6,992.6,992.73,"194,800.00",0,0,5,139,328,42.4,27.8,65.6,842.2,703.45,"194,800.00",0,0
Kalinin Aviation LLC d/b/a Alaska Seaplanes,2023,"18,683.00","66,273.00","180,999.00",36.6,3.55,9.69,74.53,73.35,"43,437,367.00","2,699,018.00","1,650,687.00","18,683.00","66,273.00","180,999.00",36.6,3.55,9.69,74.53,73.35,"43,437,367.00","2,699,018.00","1,650,687.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kalitta Air LLC,2023,"10,599.00",0,0,0,0,0,"3,796.55",0,"5,014,201,698.00","1,476,663,165.00","82,863,306.00","5,159.00",0,0,0,0,0,"2,562.41",0,"2,448,076,546.00","624,331,139.00","77,121,959.00","2,480.00",0,0,0,0,0,"5,237.11",0,"1,166,829,481.00","243,448,511.00","5,519,923.00","2,960.00",0,0,0,0,0,"4,740.58",0,"1,399,295,671.00","608,883,515.00","221,424.00"
Kalitta Charters II,2023,"6,045.00",0,0,0,0,0,524.63,0,"254,302,582.00","101,324,012.00",0,"5,292.00",0,0,0,0,0,510.18,0,"219,137,582.00","89,221,446.00",0,376,0,0,0,0,0,660.1,0,"17,560,000.00","7,403,389.00",0,377,0,0,0,0,0,592.41,0,"17,605,000.00","4,699,177.00",0
